P49286	Q9HB75
Q9BTE6-2	P40337
Q9NZ23	P40337
P15121	P40337
P55211	Q13489
P25791	Q04206
P26639	P40337
P26639	Q92597
O43294	P40337
Q9Y2D8	P04637
P56134	P40337
P46781	P40337
Q9Y3C8	P40337
Q9UQB9	O15392
Q9UM00	P40337
Q8N4S0	P40337
P08621	Q04206
Q9P031	P40337
P62249	P40337
P62249	Q92597
Q8WU17	P40337
P84022	Q04206
P84022	O43318
Q66GS9	P04637
P61106	P40337
Q9UPZ9	P04637
Q9H422	P04637
P35998	Q92597
P17676	P04637
P17676	P04637
P17676	P04150
P49761	P04637
P49761	P11940
O75716	P40337
Q8TDY2	P04637
P62158	P40337
P62158	P01375
Q15672	P04637
Q15672	P04637
P58546	P40337
O94986	P04637
Q9Y2I6	P04637
Q9Y2I6	P04637
O75912	P40337
Q05655	P04637
Q8N4C6	P04637
P62942	P40337
P35244	P40337
P49674	P04637
Q15843	P40337
P42771	P40337
P42771	P07910
O00264	P40337
Q9UBK9	Q04206
Q9BRA2	P40337
Q8TBK9	P40337
P04080	P40337
P04637	Q9BYG5
P04637	P16220
P04637	P30153
P04637	Q13362
P04637	P48730
P04637	Q12772
P04637	P10415
P04637	P26447
P04637	Q6UXN9
P04637	Q15291
P04637	Q9UBL3
P04637	P61964
P04637	O15047
P04637	P38936
P04637	Q9UKG1
P04637	Q86XK2
P04637	Q96M61
P04637	O15126
P04637	P36873-1
P04637	Q8IW41
P04637	Q15759
P04637	P09874
P04637	Q93009
P04637	Q13535
P04637	Q13547
P04637	Q92831
P04637	P25208
P04637	Q8TDN4
P04637	P20226
P04637	P29590
P04637	P29590-5
P04637	P20338
P04637	Q8NA92
P04637	P06748-1
P04637	O75925
P04637	P42773
P04637	P84090
P04637	P17028
P04637	O95376
P04637	Q9BX70
P04637	P55774
P04637	P60953
P04637	P20042
P04637	Q15013
P04637	Q99547
P04637	Q15102
P04637	Q9UN74
P04637	Q15181
P04637	O00231
P04637	P21673
P04637	P50453
P04637	Q15486
P04637	P63162
P04637	P49888
P04637	P04183
P04637	P62328
P04637	P12429
P04637	P18847
P04637	P11274
P04637	P48643
P04637	Q14061
P04637	O43261
P04637	Q9H0Q3
P04637	Q03013
P04637	P00491
P04637	Q13190
P04637	Q9Y2A0
P04637	Q9C0J8
P04637	Q9BWC9
P04637	Q9BQD7
P04637	P05109
P04637	Q8TBK6
P04637	Q14695
P04637	Q8WUF5
P04637	Q99684
P04637	P0CG47
P04637	Q99986
P04637	O43524
P04637	P34931
P04637	P10809
P04637	Q8WVJ9
P04637	P51532
P04637	Q92922
P04637	P11473
P04637	Q15596
P04637	P04792
P04637	P02749
P04637	Q92993
P04637	Q00987
P04637	O75150
P04637	Q5VTR2
P04637	Q8WTS6
P04637	P09429
P04637	Q05655
P04637	Q15672
P04637	Q8WWV6
P04637	Q96CJ1
P04637	O43741
P04637	O14641
P04637	Q05655
P04637	O15151
P04637	P55060
P04637	O75928
P04637	Q92993
P04637	P11473
P04637	Q14999
P04637	Q15796
P04637	Q9H3D4
P04637	Q15672
P04637	Q99986
P04637	P30405
P04637	P38646
P04637	Q13526
P04637	Q16363
P04637	O75925
P04637	Q14191
P04637	Q13547
P04637	Q92831
P04637	P23511
P04637	P25208
P04637	P17676
P04637	P35232
P04637	Q96KB5
P04637	Q8IW41
P04637	P36873-1
P04637	Q05086
P04637	P11274
P04637	P29590
P04637	Q15291
P04637	P61964
P04637	Q9P0U4
P04637	Q9UBL3
P04637	O15047
P04637	P10415
P04637	Q07817-1
P04637	Q00987
P04637	Q9NPI1
P04637	O14641
P04637	Q96CJ1
P04637	O43741
P04637	Q9BYG5
P04637	Q8WUF5
P04637	Q05397
P04637	Q9UER7
P04637	Q09472
P04637	Q93009
P04637	Q92793
P04637	Q00987
P04637	Q05397
P04637	Q93009
P04637	Q86XK2
P04637	Q96KB5
P04637	P17676
P04637	P30405
P04637	Q8WTS6
P04637	Q05655
Q8IXL6	Q04206
P00492	P40337
P30405	P04637
P30405	P04637
P13501	Q04206
P01024	P40337
P78527	Q9HB75
Q04206	Q13568
Q04206	O95863
Q04206	Q53EL6
Q04206	O00255-2
Q04206	O00255
Q04206	P19793
Q04206	P42224
Q04206	Q9UBK2
Q04206	P02458
Q04206	P20711
Q04206	P52292
Q04206	O15273
Q04206	Q15650
Q04206	P62829
Q04206	Q9NY61
Q04206	Q92793
Q04206	Q14690
Q04206	O15111
Q04206	Q13547
Q04206	Q15853
Q04206	Q01201
Q04206	O75582
Q04206	Q13625-2
Q04206	P08047
Q04206	P19838-2
Q04206	Q8N668
Q04206	Q15653
